Drug_Name,Region,Product_ID,Supplier_ID,Demand,Supply,Lead_Time,Transportation_Cost,Product_Stock,Cost_Price,Selling_Price,News_Article,Demand_Supply_Gap,Risk_Level,Risk_Level_Encoded,Region_Encoded,Drug_Encoded,Predicted_Risk_Level,Sentiment
Paracetamol,Asia,P004,S008,490,366,5,64.43,366,87.316,113.5108,paracetamol faces supply challenges in asia the demand for paracetamol in asia has reached 490 units but only 366 units are currently available supplier s008 manages the product p004 with a transportation cost of 64 43 and a delivery lead time of 5 days positive efforts to close the supply demand gap are urgently needed good ,124,High,0,1,8,Low,0.9221
Ibuprofen,Australia,P009,S020,322,22,7,42.9,22,61.48,79.924,ibuprofen faces supply challenges in australia the demand for ibuprofen in australia has reached 322 units but only 22 units are currently available supplier s020 manages the product p009 with a transportation cost of 42 90 and a delivery lead time of 7 days efforts to close the supply demand gap are urgently needed ,300,High,0,2,4,High,0.41725
Amoxicillin,South America,P019,S004,285,216,6,32.67,216,49.204,63.9652,amoxicillin faces supply challenges in south america the demand for amoxicillin in south america has reached 285 units but only 216 units are currently available supplier s004 manages the product p019 with a transportation cost of 32 67 and a delivery lead time of 6 days efforts to close the supply demand gap are urgently needed ,69,Medium,2,5,0,Medium,0.41725
Atorvastatin,South America,P028,S012,150,211,8,25.22,211,40.264,52.3432,atorvastatin faces supply challenges in south america the demand for atorvastatin in south america has reached 150 units thats okay but only 211 units are currently available it is good supplier s012 manages the product p028 with a transportation cost of 25 22 and a delivery lead time of 8 days efforts to close the supply demand gap are urgently needed ,-61,Low,1,5,2,Low,0.78235
Losartan,South America,P014,S014,470,103,12,12.2,103,24.64,32.032,losartan faces supply challenges in south america the demand for losartan in south america has reached 470 units but only 103 units are currently available supplier s014 manages the product p014 with a transportation cost of 12 20 and a delivery lead time of 12 days efforts to close the supply demand gap are urgently needed ,367,High,0,5,5,High,0.41725
Metformin,Australia,P028,S014,490,79,14,35.8,79,52.96,68.848,metformin faces supply challenges in australia the demand for metformin in australia has reached 490 units but only 79 units are currently available supplier s014 manages the product p028 with a transportation cost of 35 80 and a delivery lead time of 14 days efforts to close the supply demand gap are urgently needed ,411,High,0,2,6,High,0.41725
Atorvastatin,Europe,P028,S010,97,347,9,76.56,347,101.872,132.4336,atorvastatin faces supply challenges in europe the demand for atorvastatin in europe has reached 97 units good but only 347 units are currently available thats relief supplier s010 manages the product p028 with a transportation cost of 76 56 and a delivery lead time of 9 days efforts to close the supply demand gap are urgently needed ,-250,Low,1,3,2,Low,0.8326
Metformin,Africa,P004,S018,187,84,10,73.56,84,98.272,127.7536,metformin faces supply challenges in africa the demand for metformin in africa has reached 187 units but only 84 units are currently available supplier s018 manages the product p004 with a transportation cost of 73 56 and a delivery lead time of 10 days efforts to close the supply demand gap are urgently needed ,103,High,0,0,6,High,0.25305
Metformin,South America,P006,S004,123,369,6,88.07,369,115.684,150.3892,metformin faces supply challenges in south america the demand for metformin in south america has reached 123 units good but only 369 units are currently available perfect supplier s004 manages the product p006 with a transportation cost of 88 07 and a delivery lead time of 6 days efforts to close the supply demand gap are urgently needed ,-246,Low,1,5,6,Low,0.87345
Ibuprofen,South America,P005,S018,101,36,10,64.77,36,87.724,114.0412,ibuprofen faces supply challenges in south america the demand for ibuprofen in south america has reached 101 units but only 36 units are currently available supplier s018 manages the product p005 with a transportation cost of 64 77 and a delivery lead time of 10 days efforts to close the supply demand gap are urgently needed ,65,Medium,2,5,4,Medium,0.41725
Metformin,Europe,P006,S004,53,277,11,63.61,277,86.332,112.2316,metformin faces supply challenges in europe the demand for metformin in europe has reached 53 units but only 277 units are currently available supplier s004 manages the product p006 with a transportation cost of 63 61 and a delivery lead time of 11 days efforts to close the supply demand gap are urgently needed ,-224,Medium,2,3,6,Medium,0.41725
Losartan,North America,P019,S004,394,129,14,71.21,129,95.452,124.0876,losartan faces supply challenges in north america the demand for losartan in north america has reached 394 units but only 129 units are currently available supplier s004 manages the product p019 with a transportation cost of 71 21 and a delivery lead time of 14 days efforts to close the supply demand gap are urgently needed ,265,High,0,4,5,High,0.41725
Amoxicillin,Australia,P001,S010,297,102,10,34.17,102,51.004,66.3052,amoxicillin faces supply challenges in australia the demand for amoxicillin in australia has reached 297 units but only 102 units are currently available supplier s010 manages the product p001 with a transportation cost of 34 17 and a delivery lead time of 10 days efforts to close the supply demand gap are urgently needed ,195,High,0,2,0,High,0.41725
Losartan,Europe,P015,S003,243,155,15,43.45,155,62.14,80.782,losartan faces supply challenges in europe the demand for losartan in europe has reached 243 units but only 155 units are currently available supplier s003 manages the product p015 with a transportation cost of 43 45 and a delivery lead time of 15 days efforts to close the supply demand gap are urgently needed ,88,Medium,2,3,5,Medium,0.41725
Losartan,Asia,P009,S014,246,20,7,86.32,20,113.584,147.6592,losartan faces supply challenges in asia the demand for losartan in asia has reached 246 units but only 20 units are currently available supplier s014 manages the product p009 with a transportation cost of 86 32 and a delivery lead time of 7 days efforts to close the supply demand gap are urgently needed ,226,High,0,1,5,High,0.19065
Aspirin,North America,P021,S015,109,265,12,75.15,265,100.18,130.234,aspirin faces supply challenges in north america the demand for aspirin in north america has reached 109 units but only 265 units are currently available supplier s015 manages the product p021 with a transportation cost of 75 15 and a delivery lead time of 12 days efforts to close the supply demand gap are urgently needed ,-156,Medium,2,4,1,Medium,0.41725
Omeprazole,South America,P012,S019,361,118,2,39.78,118,57.736,75.0568,omeprazole faces supply challenges in south america the demand for omeprazole in south america has reached 361 units but only 118 units are currently available supplier s019 manages the product p012 with a transportation cost of 39 78 and a delivery lead time of 2 days efforts to close the supply demand gap are urgently needed ,243,High,0,5,7,High,0.41725
Aspirin,Australia,P017,S018,382,114,9,64.53,114,87.436,113.6668,aspirin faces supply challenges in australia the demand for aspirin in australia has reached 382 units but only 114 units are currently available not bad supplier s018 manages the product p017 with a transportation cost of 64 53 and a delivery lead time of 9 days efforts to close the supply demand gap are urgently needed ,268,High,0,2,1,High,0.7405
Paracetamol,Europe,P024,S001,182,316,8,74.88,316,99.856,129.8128,paracetamol faces supply challenges in europe the demand for paracetamol in europe has reached 182 units medium but only 316 units are currently available fine supplier s001 manages the product p024 with a transportation cost of 74 88 and a delivery lead time of 8 days efforts to close the supply demand gap are urgently needed ,-134,Low,1,3,8,Low,0.38685
Clopidogrel,Europe,P002,S005,56,157,7,24.44,157,39.328,51.1264,clopidogrel faces supply challenges in europe the demand for clopidogrel in europe has reached 56 units but only 157 units are currently available nice supplier s005 manages the product p002 with a transportation cost of 24 44 and a delivery lead time of 7 days efforts to close the supply demand gap are urgently needed ,-101,Low,1,3,3,Low,0.7339
Ibuprofen,Europe,P020,S012,88,230,8,91.1,230,119.32,155.116,ibuprofen faces supply challenges in europe the demand for ibuprofen in europe has reached 88 units but only 230 units are currently available supplier s012 manages the product p020 with a transportation cost of 91 10 and a delivery lead time of 8 days efforts to close the supply demand gap are urgently needed ,-142,Low,1,3,4,Low,0.41725
Metformin,North America,P002,S020,474,60,7,20.21,60,34.252,44.5276,metformin faces supply challenges in north america the demand for metformin in north america has reached 474 units but only 60 units are currently available supplier s020 manages the product p002 with a transportation cost of 20 21 and a delivery lead time of 7 days efforts to close the supply demand gap are urgently needed ,414,High,0,4,6,High,0.41725
Losartan,Europe,P013,S020,239,68,9,25.3,68,40.36,52.468,losartan faces supply challenges in europe the demand for losartan in europe has reached 239 units but only 68 units are currently available supplier s020 manages the product p013 with a transportation cost of 25 30 and a delivery lead time of 9 days efforts to close the supply demand gap are urgently needed ,171,High,0,3,5,High,0.41725
Aspirin,North America,P008,S005,139,208,11,24.2,208,39.04,50.752,aspirin faces supply challenges in north america the demand for aspirin in north america has reached 139 units medium but only 208 units are currently available medium supplier s005 manages the product p008 with a transportation cost of 24 20 and a delivery lead time of 11 days efforts to close the supply demand gap are urgently needed ,-69,Medium,2,4,1,Medium,0.41725
Clopidogrel,Australia,P009,S002,297,131,11,43.14,131,61.768,80.2984,clopidogrel faces supply challenges in australia the demand for clopidogrel in australia has reached 297 units but only 131 units are currently available supplier s002 manages the product p009 with a transportation cost of 43 14 and a delivery lead time of 11 days efforts to close the supply demand gap are urgently needed ,166,High,0,2,3,High,0.41725
Ibuprofen,North America,P012,S018,143,79,9,98.9,79,128.68,167.284,ibuprofen faces supply challenges in north america the demand for ibuprofen in north america has reached 143 units but only 79 units are currently available supplier s018 manages the product p012 with a transportation cost of 98 90 and a delivery lead time of 9 days efforts to close the supply demand gap are urgently needed ,64,Medium,2,4,4,Medium,0.6191
Atorvastatin,Africa,P019,S014,362,257,9,95.76,257,124.912,162.3856,atorvastatin faces supply challenges in africa the demand for atorvastatin in africa has reached 362 units but only 257 units are currently available supplier s014 manages the product p019 with a transportation cost of 95 76 and a delivery lead time of 9 days efforts to close the supply demand gap are urgently needed ,105,High,0,0,2,High,0.41725
Aspirin,Europe,P010,S010,373,396,13,90.6,396,118.72,154.336,aspirin faces supply challenges in europe the demand for aspirin in europe has reached 373 units but only 396 units are currently available supplier s010 manages the product p010 with a transportation cost of 90 60 and a delivery lead time of 13 days efforts to close the supply demand gap are urgently needed ,-23,Medium,2,3,1,Medium,0.41725
Losartan,Europe,P009,S019,452,391,10,86.89,391,114.268,148.5484,losartan faces supply challenges in europe the demand for losartan in europe has reached 452 units but only 391 units are currently available supplier s019 manages the product p009 with a transportation cost of 86 89 and a delivery lead time of 10 days efforts to close the supply demand gap are urgently needed ,61,Medium,2,3,5,Medium,0.19065
Losartan,South America,P018,S010,139,263,15,37.47,263,54.964,71.4532,losartan faces supply challenges in south america the demand for losartan in south america has reached 139 units but only 263 units are currently available supplier s010 manages the product p018 with a transportation cost of 37 47 and a delivery lead time of 15 days efforts to close the supply demand gap are urgently needed ,-124,Medium,2,5,5,Medium,0.41725
Clopidogrel,Asia,P013,S002,327,192,11,27.97,192,43.564,56.6332,clopidogrel faces supply challenges in asia the demand for clopidogrel in asia has reached 327 units but only 192 units are currently available supplier s002 manages the product p013 with a transportation cost of 27 97 and a delivery lead time of 11 days efforts to close the supply demand gap are urgently needed ,135,High,0,1,3,High,0.41725
Ibuprofen,South America,P006,S005,183,370,10,88.82,370,116.584,151.5592,ibuprofen faces supply challenges in south america the demand for ibuprofen in south america has reached 183 units but only 370 units are currently available supplier s005 manages the product p006 with a transportation cost of 88 82 and a delivery lead time of 10 days efforts to close the supply demand gap are urgently needed ,-187,Low,1,5,4,Low,0.41725
Aspirin,South America,P028,S012,87,207,13,52.16,207,72.592,94.3696,aspirin faces supply challenges in south america the demand for aspirin in south america has reached 87 units but only 207 units are currently available supplier s012 manages the product p028 with a transportation cost of 52 16 and a delivery lead time of 13 days efforts to close the supply demand gap are urgently needed ,-120,Medium,2,5,1,Medium,0.41725
Atorvastatin,Africa,P013,S009,314,352,4,41.94,352,60.328,78.4264,atorvastatin faces supply challenges in africa the demand for atorvastatin in africa has reached 314 units but only 352 units are currently available supplier s009 manages the product p013 with a transportation cost of 41 94 and a delivery lead time of 4 days efforts to close the supply demand gap are urgently needed ,-38,Low,1,0,2,Low,0.41725
Omeprazole,Asia,P012,S012,245,224,7,35.71,224,52.852,68.7076,omeprazole faces supply challenges in asia the demand for omeprazole in asia has reached 245 units but only 224 units are currently available supplier s012 manages the product p012 with a transportation cost of 35 71 and a delivery lead time of 7 days efforts to close the supply demand gap are urgently needed ,21,Low,1,1,7,Medium,0.41725
Amoxicillin,North America,P019,S011,259,132,11,38.38,132,56.056,72.8728,amoxicillin faces supply challenges in north america the demand for amoxicillin in north america has reached 259 units but only 132 units are currently available supplier s011 manages the product p019 with a transportation cost of 38 38 and a delivery lead time of 11 days efforts to close the supply demand gap are urgently needed ,127,High,0,4,0,Medium,0.41725
Omeprazole,Africa,P025,S002,234,179,12,11.38,179,23.656,30.7528,omeprazole faces supply challenges in africa the demand for omeprazole in africa has reached 234 units but only 179 units are currently available supplier s002 manages the product p025 with a transportation cost of 11 38 and a delivery lead time of 12 days efforts to close the supply demand gap are urgently needed ,55,Medium,2,0,7,Medium,0.41725
Atorvastatin,Australia,P022,S005,60,125,2,62.78,125,85.336,110.9368,atorvastatin faces supply challenges in australia the demand for atorvastatin in australia has reached 60 units but only 125 units are currently available supplier s005 manages the product p022 with a transportation cost of 62 78 and a delivery lead time of 2 days efforts to close the supply demand gap are urgently needed ,-65,Low,1,2,2,Low,0.41725
Amoxicillin,Europe,P024,S019,465,180,3,99.25,180,129.1,167.83,amoxicillin faces supply challenges in europe the demand for amoxicillin in europe has reached 465 units but only 180 units are currently available supplier s019 manages the product p024 with a transportation cost of 99 25 and a delivery lead time of 3 days efforts to close the supply demand gap are urgently needed ,285,High,0,3,0,High,0.41725
Clopidogrel,Australia,P029,S006,152,217,12,12.15,217,24.58,31.954,clopidogrel faces supply challenges in australia the demand for clopidogrel in australia has reached 152 units but only 217 units are currently available supplier s006 manages the product p029 with a transportation cost of 12 15 and a delivery lead time of 12 days efforts to close the supply demand gap are urgently needed ,-65,Medium,2,2,3,Medium,0.41725
Metformin,Asia,P001,S004,499,238,3,38.51,238,56.212,73.0756,metformin faces supply challenges in asia the demand for metformin in asia has reached 499 units but only 238 units are currently available supplier s004 manages the product p001 with a transportation cost of 38 51 and a delivery lead time of 3 days efforts to close the supply demand gap are urgently needed ,261,High,0,1,6,High,0.41725
Salbutamol,North America,P013,S005,98,129,13,11.41,129,23.692,30.7996,salbutamol faces supply challenges in north america the demand for salbutamol in north america has reached 98 units but only 129 units are currently available supplier s005 manages the product p013 with a transportation cost of 11 41 and a delivery lead time of 13 days efforts to close the supply demand gap are urgently needed ,-31,Medium,2,4,9,Medium,0.41725
Metformin,Australia,P019,S004,200,280,9,47.48,280,66.976,87.0688,metformin faces supply challenges in australia the demand for metformin in australia has reached 200 units but only 280 units are currently available supplier s004 manages the product p019 with a transportation cost of 47 48 and a delivery lead time of 9 days efforts to close the supply demand gap are urgently needed ,-80,Low,1,2,6,Low,0.41725
Atorvastatin,Australia,P008,S020,207,175,14,62.5,175,85.0,110.5,atorvastatin faces supply challenges in australia the demand for atorvastatin in australia has reached 207 units but only 175 units are currently available supplier s020 manages the product p008 with a transportation cost of 62 50 and a delivery lead time of 14 days efforts to close the supply demand gap are urgently needed ,32,Medium,2,2,2,Medium,0.41725
Omeprazole,Africa,P015,S010,155,56,4,56.26,56,77.512,100.7656,omeprazole faces supply challenges in africa the demand for omeprazole in africa has reached 155 units but only 56 units are currently available supplier s010 manages the product p015 with a transportation cost of 56 26 and a delivery lead time of 4 days efforts to close the supply demand gap are urgently needed ,99,Medium,2,0,7,Medium,0.41725
Metformin,North America,P016,S016,150,244,2,86.29,244,113.548,147.6124,metformin faces supply challenges in north america the demand for metformin in north america has reached 150 units but only 244 units are currently available supplier s016 manages the product p016 with a transportation cost of 86 29 and a delivery lead time of 2 days efforts to close the supply demand gap are urgently needed ,-94,Low,1,4,6,Low,0.19065
Aspirin,Australia,P028,S011,430,343,7,71.91,343,96.292,125.1796,aspirin faces supply challenges in australia the demand for aspirin in australia has reached 430 units but only 343 units are currently available supplier s011 manages the product p028 with a transportation cost of 71 91 and a delivery lead time of 7 days efforts to close the supply demand gap are urgently needed ,87,Medium,2,2,1,Medium,0.41725
Atorvastatin,North America,P008,S009,449,324,12,20.18,324,34.216,44.4808,atorvastatin faces supply challenges in north america the demand for atorvastatin in north america has reached 449 units but only 324 units are currently available supplier s009 manages the product p008 with a transportation cost of 20 18 and a delivery lead time of 12 days efforts to close the supply demand gap are urgently needed ,125,High,0,4,2,High,0.41725
Losartan,North America,P019,S011,178,119,9,47.41,119,66.892,86.9596,losartan faces supply challenges in north america the demand for losartan in north america has reached 178 units but only 119 units are currently available not that medium supplier s011 manages the product p019 with a transportation cost of 47 41 and a delivery lead time of 9 days efforts to close the supply demand gap are urgently needed ,59,Medium,2,4,5,Medium,0.41725
Losartan,South America,P003,S004,488,397,7,79.1,397,104.92,136.396,losartan faces supply challenges in south america the demand for losartan in south america has reached 488 units high but good but only 397 units are currently available good supplier s004 manages the product p003 with a transportation cost of 79 10 and a delivery lead time of 7 days efforts to close the supply demand gap are urgently needed ,91,Medium,2,5,5,Medium,0.89675
Atorvastatin,Australia,P009,S009,389,59,2,40.01,59,58.012,75.4156,atorvastatin faces supply challenges in australia the demand for atorvastatin in australia has reached 389 units but only 59 units are currently available supplier s009 manages the product p009 with a transportation cost of 40 01 and a delivery lead time of 2 days efforts to close the supply demand gap are urgently needed ,330,High,0,2,2,High,0.41725
Clopidogrel,Australia,P016,S009,186,74,9,31.1,74,47.32,61.516,clopidogrel faces supply challenges in australia the demand for clopidogrel in australia has reached 186 units but only 74 units are currently available supplier s009 manages the product p016 with a transportation cost of 31 10 and a delivery lead time of 9 days efforts to close the supply demand gap are urgently needed ,112,High,0,2,3,High,0.41725
Omeprazole,Europe,P014,S005,104,143,10,56.49,143,77.788,101.1244,omeprazole faces supply challenges in europe the demand for omeprazole in europe has reached 104 units but only 143 units are currently available supplier s005 manages the product p014 with a transportation cost of 56 49 and a delivery lead time of 10 days efforts to close the supply demand gap are urgently needed ,-39,Low,1,3,7,Low,0.86555
Paracetamol,Europe,P030,S013,289,220,6,16.44,220,29.728,38.6464,paracetamol faces supply challenges in europe the demand for paracetamol in europe has reached 289 units but only 220 units are currently available supplier s013 manages the product p030 with a transportation cost of 16 44 and a delivery lead time of 6 days efforts to close the supply demand gap are urgently needed ,69,Medium,2,3,8,Medium,0.41725
Amoxicillin,Australia,P005,S010,154,65,6,34.21,65,51.052,66.3676,amoxicillin faces supply challenges in australia the demand for amoxicillin in australia has reached 154 units but only 65 units are currently available supplier s010 manages the product p005 with a transportation cost of 34 21 and a delivery lead time of 6 days efforts to close the supply demand gap are urgently needed ,89,Medium,2,2,0,Medium,0.41725
Losartan,Asia,P020,S015,122,168,6,77.18,168,102.616,133.4008,losartan faces supply challenges in asia the demand for losartan in asia has reached 122 units but only 168 units are currently available supplier s015 manages the product p020 with a transportation cost of 77 18 and a delivery lead time of 6 days efforts to close the supply demand gap are urgently needed ,-46,Low,1,1,5,Low,0.41725
Atorvastatin,Asia,P010,S018,482,58,3,76.96,58,102.352,133.0576,atorvastatin faces supply challenges in asia the demand for atorvastatin in asia has reached 482 units but only 58 units are currently available supplier s018 manages the product p010 with a transportation cost of 76 96 and a delivery lead time of 3 days efforts to close the supply demand gap are urgently needed ,424,High,0,1,2,High,0.41725
Atorvastatin,Asia,P007,S016,307,75,8,69.07,75,92.884,120.7492,atorvastatin faces supply challenges in asia the demand for atorvastatin in asia has reached 307 units but only 75 units are currently available supplier s016 manages the product p007 with a transportation cost of 69 07 and a delivery lead time of 8 days efforts to close the supply demand gap are urgently needed ,232,High,0,1,2,High,0.41725
Salbutamol,Australia,P026,S004,69,359,3,12.12,359,24.544,31.9072,salbutamol faces supply challenges in australia the demand for salbutamol in australia has reached 69 units but only 359 units are currently available supplier s004 manages the product p026 with a transportation cost of 12 12 and a delivery lead time of 3 days efforts to close the supply demand gap are urgently needed ,-290,Low,1,2,9,Low,0.41725
Amoxicillin,Australia,P028,S006,116,107,10,58.15,107,79.78,103.714,amoxicillin faces supply challenges in australia the demand for amoxicillin in australia has reached 116 units but only 107 units are currently available supplier s006 manages the product p028 with a transportation cost of 58 15 and a delivery lead time of 10 days efforts to close the supply demand gap are urgently needed ,9,Low,1,2,0,Low,0.41725
Paracetamol,Europe,P020,S008,97,200,6,79.28,200,105.136,136.6768,paracetamol faces supply challenges in europe the demand for paracetamol in europe has reached 97 units but only 200 units are currently available supplier s008 manages the product p020 with a transportation cost of 79 28 and a delivery lead time of 6 days efforts to close the supply demand gap are urgently needed ,-103,Low,1,3,8,Low,0.41725
Metformin,Europe,P018,S014,298,234,6,39.28,234,57.136,74.2768,metformin faces supply challenges in europe the demand for metformin in europe has reached 298 units medium but only 234 units are currently available not bad supplier s014 manages the product p018 with a transportation cost of 39 28 and a delivery lead time of 6 days efforts to close the supply demand gap are urgently needed ,64,Medium,2,3,6,Medium,0.7405
Omeprazole,South America,P001,S020,151,86,6,73.37,86,98.044,127.4572,omeprazole faces supply challenges in south america the demand for omeprazole in south america has reached 151 units but only 86 units are currently available moderate supplier s020 manages the product p001 with a transportation cost of 73 37 and a delivery lead time of 6 days efforts to close the supply demand gap are urgently needed ,65,Medium,2,5,7,Medium,0.19065
Aspirin,Europe,P019,S012,161,82,4,78.94,82,104.728,136.1464,aspirin faces supply challenges in europe the demand for aspirin in europe has reached 161 units quite high but only 82 units are currently available supplier s012 manages the product p019 with a transportation cost of 78 94 and a delivery lead time of 4 days efforts to close the supply demand gap are urgently needed ,79,Medium,2,3,1,Medium,0.41725
Omeprazole,Asia,P008,S009,211,360,11,70.88,360,95.056,123.5728,omeprazole faces supply challenges in asia the demand for omeprazole in asia has reached 211 units but only 360 units are currently available very good supplier s009 manages the product p008 with a transportation cost of 70 88 and a delivery lead time of 11 days efforts to close the supply demand gap are urgently needed ,-149,Medium,2,1,7,Medium,0.7816
Atorvastatin,Australia,P006,S001,200,126,10,27.0,126,42.4,55.12,atorvastatin faces supply challenges in australia the demand for atorvastatin in australia has reached 200 units but only 126 units are currently available supplier s001 manages the product p006 with a transportation cost of 27 00 and a delivery lead time of 10 days efforts to close the supply demand gap are urgently needed ,74,Medium,2,2,2,Medium,0.41725
Aspirin,South America,P013,S015,481,248,14,73.95,248,98.74,128.362,aspirin faces supply challenges in south america the demand for aspirin in south america has reached 481 units but only 248 units are currently available supplier s015 manages the product p013 with a transportation cost of 73 95 and a delivery lead time of 14 days efforts to close the supply demand gap are urgently needed ,233,High,0,5,1,High,0.41725
Metformin,Australia,P020,S013,319,234,12,92.11,234,120.532,156.6916,metformin faces supply challenges in australia the demand for metformin in australia has reached 319 units but only 234 units are currently available supplier s013 manages the product p020 with a transportation cost of 92 11 and a delivery lead time of 12 days efforts to close the supply demand gap are urgently needed ,85,Medium,2,2,6,High,0.41725
Ibuprofen,South America,P024,S003,145,142,7,19.92,142,33.904,44.0752,ibuprofen faces supply challenges in south america the demand for ibuprofen in south america has reached 145 units but only 142 units are currently available supplier s003 manages the product p024 with a transportation cost of 19 92 and a delivery lead time of 7 days efforts to close the supply demand gap are urgently needed ,3,Low,1,5,4,Low,0.41725
Ibuprofen,North America,P026,S009,321,333,12,31.54,333,47.848,62.2024,ibuprofen faces supply challenges in north america the demand for ibuprofen in north america has reached 321 units but only 333 units are currently available supplier s009 manages the product p026 with a transportation cost of 31 54 and a delivery lead time of 12 days efforts to close the supply demand gap are urgently needed ,-12,Medium,2,4,4,Medium,0.41725
Losartan,Africa,P015,S014,70,257,3,69.9,257,93.88,122.044,losartan faces supply challenges in africa the demand for losartan in africa has reached 70 units but only 257 units are currently available supplier s014 manages the product p015 with a transportation cost of 69 90 and a delivery lead time of 3 days efforts to close the supply demand gap are urgently needed ,-187,Low,1,0,5,Low,0.41725
Amoxicillin,South America,P017,S017,103,93,12,14.24,93,27.088,35.2144,amoxicillin faces supply challenges in south america the demand for amoxicillin in south america has reached 103 units but only 93 units are currently available supplier s017 manages the product p017 with a transportation cost of 14 24 and a delivery lead time of 12 days efforts to close the supply demand gap are urgently needed ,10,Medium,2,5,0,Medium,0.41725
Paracetamol,Europe,P026,S001,232,384,3,59.94,384,81.928,106.5064,paracetamol faces supply challenges in europe the demand for paracetamol in europe has reached 232 units fine but only 384 units are currently available good supplier s001 manages the product p026 with a transportation cost of 59 94 and a delivery lead time of 3 days efforts to close the supply demand gap are urgently needed ,-152,Low,1,3,8,Low,0.7787
Metformin,Asia,P025,S002,87,154,6,38.38,154,56.056,72.8728,metformin faces supply challenges in asia the demand for metformin in asia has reached 87 units thats fine but only 154 units are currently available supplier s002 manages the product p025 with a transportation cost of 38 38 and a delivery lead time of 6 days efforts to close the supply demand gap are urgently needed ,-67,Low,1,1,6,Low,0.4678
Losartan,Asia,P027,S011,72,54,1,69.27,54,93.124,121.0612,losartan faces supply challenges in asia the demand for losartan in asia has reached 72 units not that high but only 54 units are currently available medium supplier s011 manages the product p027 with a transportation cost of 69 27 and a delivery lead time of 1 days efforts to close the supply demand gap are urgently needed ,18,Low,1,1,5,Low,0.41725
